IMDBid,Ceremony,Year,Class,CanonicalCategory,Category,NomId,Film,Name,Nominees,NomineeIds,Winner,Detail,Note,Citation,MultifilmNomination
0019304,1,1927/28,Title,BEST PICTURE,OUTSTANDING PICTURE,an0051244,The Racket,The Caddo Company,The Caddo Company,co0074827,,,,,
0018379,1,1927/28,Title,BEST PICTURE,OUTSTANDING PICTURE,an0051245,7th Heaven,Fox,Fox,co0028775,,,,,
0018578,1,1927/28,Title,BEST PICTURE,OUTSTANDING PICTURE,an0051242,Wings,Paramount Famous Lasky,Paramount Famous Lasky,co0023400,True,,,,
0019630,2,1928/29,Title,BEST PICTURE,OUTSTANDING PICTURE,an0053787,Alibi,Feature Productions,Feature Productions,co0203140,,,"NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.",,
0020018,2,1928/29,Title,BEST PICTURE,OUTSTANDING PICTURE,an0053789,In Old Arizona,Fox,Fox,co0028775,,,"NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.",,
0019729,2,1928/29,Title,BEST PICTURE,OUTSTANDING PICTURE,an0053786,The Broadway Melody,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,co0007143,True,,"NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930.",,
0019993,2,1928/29,Title,BEST PICTURE,OUTSTANDING PICTURE,an0053788,Hollywood Revue,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,co0007143,,,"NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.",,
0019257,2,1928/29,Title,BEST PICTURE,OUTSTANDING PICTURE,an0053790,The Patriot,Paramount Famous Lasky,Paramount Famous Lasky,co0023400,,,"NOTE: THIS IS NOT AN OFFICIAL NOMINATION. There were no announcements of nominations, no certificates of nomination or honorable mention, and only the winners (*) were revealed during the awards banquet on April 3, 1930. Though not official nominations, the additional names in each category, according to in-house records, were under consideration by the various boards of judges.",,
0020629,3,1929/30,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0053834,All Quiet on the Western Front,Universal,Universal,co0005073,True,,,,
0020686,3,1929/30,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0053835,The Big House,Cosmopolitan,Cosmopolitan,co0073404,,,,,
0019823,3,1929/30,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0053836,Disraeli,Warner Bros.,Warner Bros.,co0080422,,,,,
0020827,3,1929/30,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0053837,The Divorcee,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,co0007143,,,,,
0020112,3,1929/30,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0053838,The Love Parade,Paramount Famous Lasky,Paramount Famous Lasky,co0023400,,,,,
0021746,4,1930/31,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0050075,Cimarron,RKO Radio,RKO Radio,co0041421,True,,,,
0021826,4,1930/31,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0050076,East Lynne,Fox,Fox,co0028775,,,,,
0021890,4,1930/31,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0050077,The Front Page,The Caddo Company,The Caddo Company,co0074827,,,,,
0022397,4,1930/31,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0050078,Skippy,Paramount Publix,Paramount Publix,co0023400,,,,,
0022495,4,1930/31,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0050079,Trader Horn,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,co0007143,,,,,
0021622,5,1931/32,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0053431,Arrowsmith,Samuel Goldwyn Productions,Samuel Goldwyn Productions,co0058013,,,,,
0021635,5,1931/32,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0053432,Bad Girl,Fox,Fox,co0028775,,,,,
0021730,5,1931/32,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0053433,The Champ,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,co0007143,,,,,
0021873,5,1931/32,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0053434,Five Star Final,First National,First National,co0041460,,,,,
0022958,5,1931/32,Title,BEST PICTURE,OUTSTANDING PRODUCTION,an0053430,Grand Hotel,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,co0007143,True,,,,
